Artist Name,Artist Popularity,Artist Genres,Album Name
Kate Bush,82,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter', 'uk pop']",Hounds Of Love
Harry Styles,93,['pop'],Harry's House
Joji,86,"['alternative r&b', 'viral pop']",Glimpse of Us
Drake,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","Honestly, Nevermind"
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Steve Lacy,77,"['afrofuturism', 'pop']",Bad Habit
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Doja Cat,89,"['dance pop', 'pop']",Vegas (From the Original Motion Picture Soundtrack ELVIS)
Post Malone,89,"['dfw rap', 'melodic rap', 'rap']",Twelve Carat Toothache
Metallica,82,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",Master Of Puppets (Remastered)
Jack Harlow,85,"['deep underground hip hop', 'kentucky hip hop', 'rap']",Come Home The Kids Miss You
Lizzo,80,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",About Damn Time
Future,87,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",I NEVER LIKED YOU
Harry Styles,93,['pop'],Harry's House
Glass Animals,80,"['gauze pop', 'indietronica', 'shiver pop']",Dreamland (+ Bonus Levels)
OneRepublic,82,"['dance pop', 'piano rock', 'pop', 'pop rock']","I Ain�t Worried (Music From The Motion Picture ""Top Gun: Maverick"")"
Yung Gravy,72,"['minnesota hip hop', 'pop rap']",Betty (Get Money)
Morgan Wallen,83,['contemporary country'],You Proof
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Nicky Youre,71,[],Sunroof
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Zach Bryan,78,['oklahoma country'],Something in the Orange
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Charlie Puth,83,"['dance pop', 'pop', 'viral pop']",Left and Right (Feat. Jung Kook of BTS)
Beyonc�,83,"['dance pop', 'pop', 'r&b']",BREAK MY SOUL
The Kid LAROI,83,['australian hip hop'],F*CK LOVE 3: OVER YOU
J. Cole,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2014 Forest Hills Drive
The Neighbourhood,82,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",I Love You.
Future,87,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",I NEVER LIKED YOU
The Weeknd,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",Starboy
KAROL G,86,"['latin', 'reggaeton', 'reggaeton colombiano']",PROVENZA
Post Malone,89,"['dfw rap', 'melodic rap', 'rap']",Twelve Carat Toothache
Stephen Sanchez,74,['gen z singer-songwriter'],Until I Found You
Morgan Wallen,83,['contemporary country'],Dangerous: The Double Album
Luke Combs,81,"['contemporary country', 'country']",Growin' Up
Justin Bieber,90,"['canadian pop', 'pop']",Justice
Pharrell Williams,81,"['hip hop', 'pop']",Cash In Cash Out
Drake,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Certified Lover Boy
Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti
Steve Lacy,77,"['afrofuturism', 'pop']",Dark Red
Drake,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","Honestly, Nevermind"
Bailey Zimmerman,67,['contemporary country'],Rock and A Hard Place
Brent Faiyaz,81,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']",WASTELAND
Doja Cat,89,"['dance pop', 'pop']",Planet Her
Arctic Monkeys,83,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",Favourite Worst Nightmare (Standard Version)
Sleepy Hallow,77,"['brooklyn drill', 'nyc rap']",Die Young (feat. 347aidan)
Olivia Rodrigo,85,['pop'],SOUR
Cardi B,80,"['dance pop', 'pop', 'pop rap', 'rap']",Hot Shit (feat. Ye & Lil Durk)
